Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA,BND,SPY,TSLA
Date,,,,,,,,,,,,,,,
2016-08-10,66.43872833251953,188.56246948242188,15.043333053588867,66.46235423026245,189.22092583880834,15.324666976928711,66.35209603504819,188.20724386561892,14.974666595458984,66.39934783053401,189.1429533532146,15.215999603271484,1672200,57941100,35074500
2016-08-11,66.26545715332031,189.43751525878906,14.994000434875488,66.46234762644252,189.68877754869254,15.171333312988281,66.2182053625295,188.83104059029895,14.894000053405762,66.46234762644252,189.09962128490483,15.07800006866455,1760100,72504300,28213500
2016-08-12,66.41510009765625,189.27294921875,15.040666580200195,66.52535828899057,189.48954830256613,15.109999656677246,66.39934549396804,188.86574188356298,14.935999870300293,66.47810649516751,189.12565020801517,15.02733325958252,1606000,61313500,27202500
2016-08-15,66.30482482910156,189.81869506835938,15.03933334350586,66.40720569222295,190.17392059857858,15.300000190734863,66.2969475292863,189.63675931298621,14.995332717895508,66.3284507199281,189.64541851366704,15.067999839782715,1942500,49813500,30514500
2016-08-16,66.2733383178711,188.83973693847656,14.907333374023438,66.33634471501188,189.4635300907026,15.145999908447266,66.2418351193007,188.83973693847656,14.894000053405762,66.32846741321409,189.39423002280031,15.03266716003418,2163100,53213600,34006500
2016-08-17,66.375732421875,189.19491577148438,14.88266658782959,66.42298422482784,189.33354232299237,14.988666534423828,66.27335151260321,188.02528894604413,14.853333473205566,66.30485471744575,188.8743534387583,14.95533275604248,2024600,75134300,26806500
2016-08-18,66.44658660888672,189.6194610595703,14.900667190551758,66.47808979973058,189.6541110885448,15.043999671936035,66.34419973648936,189.0563088526816,14.81933307647705,66.40720611817709,189.16893136196575,14.921333312988281,1750900,52989300,25717500
2016-08-19,66.31269073486328,189.3422393798828,15.0,66.35994852129765,189.52418841763335,15.011333465576172,66.21818717923205,188.64913292408204,14.835332870483398,66.32844533321432,189.142971934848,14.902667045593262,1995100,75443000,24892500
2016-08-22,66.4072265625,189.33351135253906,14.862000465393066,66.43085246075161,189.5674419674239,15.007332801818848,66.33634886774516,188.7270368140909,14.845333099365234,66.38360066424839,189.09958073765426,14.944666862487793,1388100,61368800,30982500
2016-08-23,66.43872833251953,189.7147674560547,14.989333152770996,66.50960602574827,190.2606012651274,15.232666969299316,66.40722513265531,189.65411337942163,14.853333473205566,66.50173473224797,189.9573573222745,14.954667091369629,1668300,53399200,71766000
2016-08-24,66.43084716796875,188.74441528320312,14.841333389282227,66.50960215873981,189.66279312939577,15.143333435058594,66.4072212715995,188.31987639083852,14.814666748046875,66.49385356403386,189.56748901968766,15.136667251586914,2083300,71728900,38560500
2016-08-25,66.3599624633789,188.6144561767578,14.730667114257812,66.45446603886514,189.0389950877011,14.920000076293945,66.35208516254839,188.1985896889945,14.718000411987305,66.40721425112203,188.35453466434677,14.87399959564209,1737800,69224800,26437500
2016-08-26,66.19456481933594,188.25921630859375,14.666000366210938,66.54108788948915,189.844722872184,14.857333183288574,66.19456481933594,187.35817011657818,14.588000297546387,66.45445561979608,188.80505012134873,14.809332847595215,2874500,122506300,33585000
2016-08-29,66.42296600341797,189.18626403808594,14.346667289733887,66.42296600341797,189.45484472963818,14.69333267211914,66.29695922723644,188.3545179163587,14.333333015441895,66.33633972464209,188.38918116568192,14.676667213439941,1446800,70502200,48994500
2016-08-30,66.36782836914062,188.87437438964844,14.089332580566406,66.43871205362235,189.3855449823607,14.407333374023438,66.33633118561488,188.3112221393935,14.034667015075684,66.43871205362235,189.099632645719,14.407333374023438,4750700,58114500,47533500
2016-08-31,66.32059478759766,188.3372039794922,14.133999824523926,66.43085298605781,188.65776633247734,14.173333168029785,66.32059478759766,187.54878029063832,13.90999984741211,66.39147849153414,188.53647139728108,14.028667449951172,1911900,85269500,49147500
2016-09-01,66.41212463378906,188.3458251953125,13.38466739654541,66.43579719299574,188.64039666135594,14.073332786560059,66.206952419851,187.16752611098494,13.366666793823242,66.206952419851,188.3284935737353,13.934000015258789,3108600,97844200,119146500
2016-09-02,66.31739044189453,189.19491577148438,13.185333251953125,66.38840807889137,189.62811382983017,13.546667098999023,66.23847994951426,188.61443195971972,13.079999923706055,66.38840807889137,189.2122473954618,13.488666534423828,1797500,79293900,89661000
2016-09-06,66.51469421386719,189.76670837402344,13.522000312805176,66.56203932265942,189.844680838537,13.550000190734863,66.30162918332846,188.7530266748873,13.266667366027832,66.36476000870933,189.48079611732044,13.267999649047852,4316100,56702100,65859000
2016-09-07,66.52256774902344,189.74942016601562,13.447333335876465,66.60147824758457,189.93136917832896,13.766667366027832,66.50678203702013,189.13428628946693,13.380666732788086,66.60147824758457,189.60213440374122,13.699999809265137,1849500,76554900,54613500
2016-09-08,66.27007293701172,189.3162078857422,13.157333374023438,66.45156654298877,189.6887650848642,13.326000213623047,66.18326955311412,189.00430475956193,13.090666770935059,66.4200011287999,189.41151198596825,13.303333282470703,3475600,74102900,50668500
2016-09-09,65.9781494140625,184.7849884033203,12.964667320251465,66.13597058900751,188.0339742926606,13.32800006866455,65.94658397497511,184.75899757381816,12.91333293914795,66.057060001535,187.98199263365635,13.272666931152344,2888900,221589100,56355000
2016-09-12,66.00177764892578,187.4361572265625,13.220000267028809,66.03334306680783,187.8433645122777,13.424667358398438,65.89919455617499,183.9445814772527,12.9399995803833,65.93075997405705,184.01389476207206,13.0,3191000,168110900,55728000
2016-09-13,65.81241607666016,184.74163818359375,13.069999694824219,66.10438576674608,186.4051171225217,13.232666969299316,65.72561264974539,184.1091727271628,12.896666526794434,66.10438576674608,186.13653644459166,13.137332916259766,2669800,182828800,53841000
2016-09-14,65.89917755126953,184.67237854003906,13.093999862670898,65.97019520781257,186.01529553984648,13.194666862487793,65.81237417961496,184.1092261950356,12.990667343139648,65.8281538742402,184.79367350143175,13.050000190734863,2124500,134185500,33817500
2016-09-15,65.95442199707031,186.517822265625,13.361332893371582,65.97809455157854,186.9076980148271,13.501333236694336,65.81238064953406,184.32584035683226,13.09333324432373,65.86761861688223,184.50778942387876,13.099332809448242,1817200,134427900,46158000
2016-09-16,66.00968933105469,185.79676818847656,13.69333267211914,66.04125475793757,186.0754218323679,13.713333129882812,65.93077877409227,185.10016065262226,13.266667366027832,66.00968933105469,185.89255371769707,13.361332893371582,1307800,155236400,46617000
2016-09-19,65.96231079101562,185.8315887451172,13.755999565124512,66.02544161856763,187.11162556444566,13.961999893188477,65.93863823580539,185.50069089641204,13.666666984558105,66.00176906335739,186.4585460969081,13.800000190734863,1558100,80250500,34492500
2016-09-20,65.9781494140625,185.8402557373047,13.642666816711426,66.09651830551722,186.85905791514398,13.850000381469727,65.9781494140625,185.805430685358,13.593999862670898,66.0176077180447,186.70232525098402,13.789999961853027,1260900,69665300,36157500
2016-09-21,66.16744232177734,187.93019104003906,13.6813325881958,66.16744232177734,188.11304588634775,13.800000190734863,65.91492518718488,185.85774753561802,13.437333106994629,65.9307108946188,186.55436842917402,13.758000373840332,1979800,110284400,39502500
2016-09-22,66.30164337158203,189.11434936523438,13.76200008392334,66.36477421047262,189.4191250295334,13.8186674118042,66.21484599371767,188.7050985484206,13.533332824707031,66.2385185531796,188.95761670606308,13.760000228881836,1473900,76678700,35743500
2016-09-23,66.2858657836914,188.07818603515625,13.829999923706055,66.34899662459308,188.85317314807975,14.01200008392334,66.27008608371017,187.9824005139214,13.711333274841309,66.30953834390745,188.71384633774977,13.732666969299316,1441500,73630900,43578000
2016-09-26,66.3963394165039,186.55430603027344,13.932666778564453,66.42001197588975,187.41636230554957,14.066666603088379,66.32532173834637,186.35401878777168,13.766667366027832,66.34899429773222,187.23350752040236,13.766667366027832,1709200,89827300,35916000
2016-09-27,66.47522735595703,187.71241760253906,13.720666885375977,66.49889990729524,187.80818981361298,13.998666763305664,66.38842398739285,186.01440074815463,13.640666961669922,66.49101307050657,186.38883979924705,13.976667404174805,2458100,78494800,50598000
2016-09-28,66.47522735595703,188.64414978027344,13.751333236694336,66.52257847911955,188.8008957360821,13.883333206176758,66.4278822532806,186.96356526942293,13.684000015258789,66.47522735595703,187.93882619646845,13.833999633789062,2284600,87411000,31326000
2016-09-29,66.48310852050781,186.93740844726562,13.380000114440918,66.53045361485741,188.84440208829838,13.821999549865723,66.37263262003538,186.38011465468853,13.371999740600586,66.39630516721019,188.43513800611638,13.706666946411133,2886200,128070600,40905000
2016-09-30,66.3963394165039,188.34811401367188,13.60200023651123,66.50681537396326,189.06214062879357,13.665332794189453,66.3016431584724,187.52958565255693,13.303333282470703,66.48314281457742,187.78210385759215,13.480667114257812,1663600,117202900,38794500
2016-10-03,66.32598876953125,187.8953399658203,14.24666690826416,66.42086659620931,188.1217360939487,14.378000259399414,66.2864548337408,187.25096335769524,13.883333206176758,66.37342466685442,187.93017831595546,14.153332710266113,1509200,83512100,89998500
2016-10-04,66.1046371459961,186.93740844726562,14.093999862670898,66.29438683603897,188.2348640787503,14.221332550048828,66.09672914956775,186.33658666516746,13.921333312988281,66.28647883961064,188.00846804289876,14.206666946411133,1815500,119948100,53122500
2016-10-05,65.99390411376953,187.76470947265625,13.897333145141602,66.15202774180739,188.20009579464494,14.210000038146973,65.97018617276683,187.50347502207583,13.874667167663574,66.14412578282632,187.57313842802634,14.149333000183105,2666100,72816000,28162500
2016-10-06,65.97019958496094,187.8953399658203,13.399999618530273,66.06507136825984,188.1217360939487,13.61400032043457,65.92275766128051,186.98974216636918,13.347332954406738,65.9860095381671,187.53831995509137,13.497332572937012,1148500,62927400,70551000
2016-10-07,66.02552032470703,187.2509307861328,13.107333183288574,66.04133027237118,188.3481127466017,13.421333312988281,65.86739068792119,186.51078206122583,13.053333282470703,66.03342228252467,188.17396088703154,13.399999618530273,1783300,89788300,52395000
2016-10-10,65.95435333251953,188.2261962890625,13.396666526794434,65.96226132150903,188.6964076165442,13.609333038330078,65.86738354971965,188.07816655102317,13.310667037963867,65.92272740858974,188.2261962890625,13.423333168029785,1425500,51855000,49744500
2016-10-11,65.85160064697266,185.8489990234375,13.34000015258789,65.96228841016885,187.8604949920199,13.479999542236328,65.84369265473558,185.10885024823006,13.220666885375977,65.9227544810142,187.79083158607048,13.456666946411133,1476700,130367400,34926000
2016-10-12,65.89112854003906,186.0928192138672,13.434000015258789,65.90694452451223,186.62399103426065,13.592000007629395,65.80416475355943,185.48326776097252,13.361332893371582,65.85950863515411,185.98831746617742,13.396666526794434,1286400,73866100,29560500
2016-10-13,65.97019958496094,185.48330688476562,13.349332809448242,66.04926141505368,185.98835669650012,13.393333435058594,65.96229159234237,183.9159264951035,13.136667251586914,66.03344542981654,184.7431579867448,13.366666793823242,1625500,101357000,37419000
2016-10-14,65.83582305908203,185.5790252685547,13.100666999816895,65.98604483904481,186.94614442944243,13.428667068481445,65.8279210942671,185.5006589348172,13.08666706085205,65.89116697295765,186.4759198531506,13.37733268737793,1379900,93346200,64048500
2016-10-17,65.97811126708984,184.93470764160156,12.93066692352295,65.9939272546574,185.81418327276748,13.22599983215332,65.84370553292509,184.75183953095606,12.800000190734863,65.88323946981207,185.55294880910395,13.136667251586914,1008900,58275700,68311500
2016-10-18,66.0650634765625,186.0928192138672,13.273332595825195,66.07297146823643,186.6152748045741,13.29800033569336,65.91484782693936,185.70967714185414,12.883999824523926,65.92274978658303,186.55432763144597,13.065999984741211,1167300,76869700,85207500
2016-10-19,66.11248779296875,186.58912658691406,13.570667266845703,66.11248779296875,186.90260521225903,13.77733325958252,66.01761001423235,185.9970076762256,13.204000473022461,66.02551800380088,186.36273052463912,13.315999984741211,1546400,66519200,104868000
2016-10-20,66.07298278808594,186.24087524414062,13.273332595825195,66.15995261530837,186.8068722023459,13.533332824707031,66.04135684800221,185.5703765234985,13.136667251586914,66.12041868219589,186.23215901322408,13.474666595458984,1283200,73639800,76093500
2016-10-21,66.12831115722656,186.3279266357422,13.339332580566406,66.13621914839959,186.41500921491334,13.437999725341797,66.04134135041289,185.26558294714744,13.160667419433594,66.09668522456433,186.24085734350714,13.239999771118164,1018800,89089100,44151000
2016-10-24,66.03339385986328,187.12034606933594,13.517333030700684,66.13617958753939,187.49478524173995,13.596667289733887,65.97805001881703,186.7633260713765,13.350000381469727,66.13617958753939,187.2161315983754,13.399999618530273,1453900,60146600,41274000
2016-10-25,66.03339385986328,186.49334716796875,13.489333152770996,66.09664568735222,187.19867077627765,13.645999908447266,65.9859580052597,186.32789826489696,13.41333293914795,66.00177397814508,186.93743636547663,13.526666641235352,1462100,66542300,36675000
2016-10-26,65.91481018066406,186.11892700195312,13.482666969299316,65.97805598184283,186.71104594989447,13.545999526977539,65.89108621919186,185.41359008535076,13.34000015258789,65.93062012295205,185.65741861990045,13.399999618530273,1144500,75705500,84492000
2016-10-27,65.73300170898438,185.62257385253906,13.600666999816895,65.78043759604873,186.88519133118504,14.24666690826416,65.63812390282527,185.54420751571843,13.44333267211914,65.75671965251655,186.85036627713166,14.089332580566406,1848200,77220200,196405500
2016-10-28,65.70137023925781,185.07394409179688,13.33133316040039,65.76462210470255,186.2843170919555,13.687999725341797,65.67765229772351,184.35121475461452,13.321999549865723,65.69346224806975,185.5964128015201,13.600000381469727,1574400,140623200,64201500
2016-10-31,65.77254486083984,185.08273315429688,13.182000160217285,65.8199807545571,185.64002713007898,13.499333381652832,65.73301092805464,184.91728422154435,13.053999900817871,65.78835481473517,185.41361773286545,13.499333381652832,1664700,61272500,70384500
2016-11-01,65.75113677978516,183.74171447753906,12.719332695007324,65.80658930398914,185.46585372583664,13.233332633972168,65.61646722727147,182.51393525682008,12.540666580200195,65.66399623548293,185.4135962108203,13.202667236328125,1623500,122781800,105900000
2016-11-02,65.81450653076172,182.6358642578125,12.534667015075684,65.90956453810091,183.82011561834184,12.846667289733887,65.75113049662141,182.19176169327872,12.500666618347168,65.79865950029101,183.42825728800344,12.670000076293945,3138400,103330800,63801000
